0 ,zero
1 ,one
2 ,two
3 ,three
4 ,four
5 ,five
6 ,six
7 ,seven
8 ,eight
9 ,nine
1 0 ,ten
1 1 ,eleven
1 2 ,twelve
1 3 ,thirteen
1 4 ,fourteen
1 5 ,fifteen
1 6 ,sixteen
1 7 ,seventeen
1 8 ,eighteen
1 9 ,nineteen
2 0 ,twenty 
2 1 ,twenty one
2 2 ,twenty two
2 3 ,twenty three
2 4 ,twenty four
2 5 ,twenty five
2 6 ,twenty six
2 7 ,twenty seven
2 8 ,twenty eight
2 9 ,twenty nine
3 0 ,thirty 
3 1 ,thirty one
3 2 ,thirty two
3 3 ,thirty three
3 4 ,thirty four
3 5 ,thirty five
3 6 ,thirty six
3 7 ,thirty seven
3 8 ,thirty eight
3 9 ,thirty nine
4 0 ,forty 
4 1 ,forty one
4 2 ,forty two
4 3 ,forty three
4 4 ,forty four
4 5 ,forty five
4 6 ,forty six
4 7 ,forty seven
4 8 ,forty eight
4 9 ,forty nine
5 0 ,fifty 
5 1 ,fifty one
5 2 ,fifty two
5 3 ,fifty three
5 4 ,fifty four
5 5 ,fifty five
5 6 ,fifty six
5 7 ,fifty seven
5 8 ,fifty eight
5 9 ,fifty nine
6 0 ,sixty 
6 1 ,sixty one
6 2 ,sixty two
6 3 ,sixty three
6 4 ,sixty four
6 5 ,sixty five
6 6 ,sixty six
6 7 ,sixty seven
6 8 ,sixty eight
6 9 ,sixty nine
7 0 ,seventy 
7 1 ,seventy one
7 2 ,seventy two
7 3 ,seventy three
7 4 ,seventy four
7 5 ,seventy five
7 6 ,seventy six
7 7 ,seventy seven
7 8 ,seventy eight
7 9 ,seventy nine
8 0 ,eighty 
8 1 ,eighty one
8 2 ,eighty two
8 3 ,eighty three
8 4 ,eighty four
8 5 ,eighty five
8 6 ,eighty six
8 7 ,eighty seven
8 8 ,eighty eight
8 9 ,eighty nine
9 0 ,ninety 
9 1 ,ninety one
9 2 ,ninety two
9 3 ,ninety three
9 4 ,ninety four
9 5 ,ninety five
9 6 ,ninety six
9 7 ,ninety seven
9 8 ,ninety eight
9 9 ,ninety nine
1 0 0 ,one hundred
1 0 1 ,one hundred one
1 0 2 ,one hundred two
1 0 3 ,one hundred three
1 0 4 ,one hundred four
1 0 5 ,one hundred five
1 0 6 ,one hundred six
1 0 7 ,one hundred seven
1 0 8 ,one hundred eight
1 0 9 ,one hundred nine
1 1 0 ,one hundred ten
1 1 1 ,one hundred eleven
1 1 2 ,one hundred twelve
1 1 3 ,one hundred thirteen
1 1 4 ,one hundred fourteen
1 1 5 ,one hundred fifteen
1 1 6 ,one hundred sixteen
1 1 7 ,one hundred seventeen
1 1 8 ,one hundred eighteen
1 1 9 ,one hundred nineteen
1 2 0 ,one hundred twenty 
1 2 1 ,one hundred twenty one
1 2 2 ,one hundred twenty two
1 2 3 ,one hundred twenty three
1 2 4 ,one hundred twenty four
1 2 5 ,one hundred twenty five
1 2 6 ,one hundred twenty six
1 2 7 ,one hundred twenty seven
1 2 8 ,one hundred twenty eight
1 2 9 ,one hundred twenty nine
1 3 0 ,one hundred thirty 
1 3 1 ,one hundred thirty one
1 3 2 ,one hundred thirty two
1 3 3 ,one hundred thirty three
1 3 4 ,one hundred thirty four
1 3 5 ,one hundred thirty five
1 3 6 ,one hundred thirty six
1 3 7 ,one hundred thirty seven
1 3 8 ,one hundred thirty eight
1 3 9 ,one hundred thirty nine
1 4 0 ,one hundred forty 
1 4 1 ,one hundred forty one
1 4 2 ,one hundred forty two
1 4 3 ,one hundred forty three
1 4 4 ,one hundred forty four
1 4 5 ,one hundred forty five
1 4 6 ,one hundred forty six
1 4 7 ,one hundred forty seven
1 4 8 ,one hundred forty eight
1 4 9 ,one hundred forty nine
1 5 0 ,one hundred fifty 
1 5 1 ,one hundred fifty one
1 5 2 ,one hundred fifty two
1 5 3 ,one hundred fifty three
1 5 4 ,one hundred fifty four
1 5 5 ,one hundred fifty five
1 5 6 ,one hundred fifty six
1 5 7 ,one hundred fifty seven
1 5 8 ,one hundred fifty eight
1 5 9 ,one hundred fifty nine
1 6 0 ,one hundred sixty 
1 6 1 ,one hundred sixty one
1 6 2 ,one hundred sixty two
1 6 3 ,one hundred sixty three
1 6 4 ,one hundred sixty four
1 6 5 ,one hundred sixty five
1 6 6 ,one hundred sixty six
1 6 7 ,one hundred sixty seven
1 6 8 ,one hundred sixty eight
1 6 9 ,one hundred sixty nine
1 7 0 ,one hundred seventy 
1 7 1 ,one hundred seventy one
1 7 2 ,one hundred seventy two
1 7 3 ,one hundred seventy three
1 7 4 ,one hundred seventy four
1 7 5 ,one hundred seventy five
1 7 6 ,one hundred seventy six
1 7 7 ,one hundred seventy seven
1 7 8 ,one hundred seventy eight
1 7 9 ,one hundred seventy nine
1 8 0 ,one hundred eighty 
1 8 1 ,one hundred eighty one
1 8 2 ,one hundred eighty two
1 8 3 ,one hundred eighty three
1 8 4 ,one hundred eighty four
1 8 5 ,one hundred eighty five
1 8 6 ,one hundred eighty six
1 8 7 ,one hundred eighty seven
1 8 8 ,one hundred eighty eight
1 8 9 ,one hundred eighty nine
1 9 0 ,one hundred ninety 
1 9 1 ,one hundred ninety one
1 9 2 ,one hundred ninety two
1 9 3 ,one hundred ninety three
1 9 4 ,one hundred ninety four
1 9 5 ,one hundred ninety five
