0,zero
,one
2,two
3,three
4,four
5,five
6,six
7,seven
8,eight
9,nine
1 0,ten
1 1,eleven
1 2,twelve
1 3,thirteen
1 4,fourteen
1 5,fifteen
1 6,sixteen
1 7,seventeen
1 8,eighteen
1 9,nineteen
2 0,twenty 
2 1,twenty one
2 2,twenty two
2 3,twenty three
2 4,twenty four
2 5,twenty five
2 6,twenty six
2 7,twenty seven
2 8,twenty eight
2 9,twenty nine
3 0,thirty 
3 1,thirty one
3 2,thirty two
3 3,thirty three
3 4,thirty four
3 5,thirty five
3 6,thirty six
3 7,thirty seven
3 8,thirty eight
3 9,thirty nine
4 0,forty 
4 1,forty one
4 2,forty two
4 3,forty three
4 4,forty four
4 5,forty five
4 6,forty six
4 7,forty seven
4 8,forty eight
4 9,forty nine
5 0,fifty 
5 1,fifty one
5 2,fifty two
5 3,fifty three
5 4,fifty four
5 5,fifty five
5 6,fifty six
5 7,fifty seven
5 8,fifty eight
5 9,fifty nine
6 0,sixty 
6 1,sixty one
6 2,sixty two
6 3,sixty three
6 4,sixty four
6 5,sixty five
6 6,sixty six
6 7,sixty seven
6 8,sixty eight
6 9,sixty nine
7 0,seventy 
7 1,seventy one
7 2,seventy two
7 3,seventy three
7 4,seventy four
7 5,seventy five
7 6,seventy six
7 7,seventy seven
7 8,seventy eight
7 9,seventy nine
8 0,eighty 
8 1,eighty one
8 2,eighty two
8 3,eighty three
8 4,eighty four
8 5,eighty five
8 6,eighty six
8 7,eighty seven
8 8,eighty eight
8 9,eighty nine
9 0,ninety 
9 1,ninety one
9 2,ninety two
9 3,ninety three
9 4,ninety four
9 5,ninety five
9 6,ninety six
9 7,ninety seven
9 8,ninety eight
9 9,ninety nine
1 0 0,one hundred
1 0 1,one hundred one
1 0 2,one hundred two
1 0 3,one hundred three
1 0 4,one hundred four
1 0 5,one hundred five
1 0 6,one hundred six
1 0 7,one hundred seven
1 0 8,one hundred eight
1 0 9,one hundred nine
1 1 0,one hundred ten
1 1 1,one hundred eleven
1 1 2,one hundred twelve
1 1 3,one hundred thirteen
1 1 4,one hundred fourteen
1 1 5,one hundred fifteen
1 1 6,one hundred sixteen
1 1 7,one hundred seventeen
1 1 8,one hundred eighteen
1 1 9,one hundred nineteen
1 2 0,one hundred twenty 
1 2 1,one hundred twenty one
1 2 2,one hundred twenty two
1 2 3,one hundred twenty three
1 2 4,one hundred twenty four
1 2 5,one hundred twenty five
1 2 6,one hundred twenty six
1 2 7,one hundred twenty seven
1 2 8,one hundred twenty eight
1 2 9,one hundred twenty nine
1 3 0,one hundred thirty 
1 3 1,one hundred thirty one
1 3 2,one hundred thirty two
1 3 3,one hundred thirty three
1 3 4,one hundred thirty four
1 3 5,one hundred thirty five
1 3 6,one hundred thirty six
1 3 7,one hundred thirty seven
1 3 8,one hundred thirty eight
1 3 9,one hundred thirty nine
1 4 0,one hundred forty 
1 4 1,one hundred forty one
1 4 2,one hundred forty two
1 4 3,one hundred forty three
1 4 4,one hundred forty four
1 4 5,one hundred forty five
1 4 6,one hundred forty six
1 4 7,one hundred forty seven
1 4 8,one hundred forty eight
1 4 9,one hundred forty nine
1 5 0,one hundred fifty 
1 5 1,one hundred fifty one
1 5 2,one hundred fifty two
1 5 3,one hundred fifty three
1 5 4,one hundred fifty four
1 5 5,one hundred fifty five
1 5 6,one hundred fifty six
1 5 7,one hundred fifty seven
1 5 8,one hundred fifty eight
1 5 9,one hundred fifty nine
1 6 0,one hundred sixty 
1 6 1,one hundred sixty one
1 6 2,one hundred sixty two
1 6 3,one hundred sixty three
1 6 4,one hundred sixty four
1 6 5,one hundred sixty five
1 6 6,one hundred sixty six
1 6 7,one hundred sixty seven
1 6 8,one hundred sixty eight
1 6 9,one hundred sixty nine
1 7 0,one hundred seventy 
1 7 1,one hundred seventy one
1 7 2,one hundred seventy two
1 7 3,one hundred seventy three
1 7 4,one hundred seventy four
1 7 5,one hundred seventy five
1 7 6,one hundred seventy six
1 7 7,one hundred seventy seven
1 7 8,one hundred seventy eight
1 7 9,one hundred seventy nine
1 8 0,one hundred eighty 
1 8 1,one hundred eighty one
1 8 2,one hundred eighty two
1 8 3,one hundred eighty three
1 8 4,one hundred eighty four
1 8 5,one hundred eighty five
1 8 6,one hundred eighty six
1 8 7,one hundred eighty seven
1 8 8,one hundred eighty eight
1 8 9,one hundred eighty nine
1 9 0,one hundred ninety 
1 9 1,one hundred ninety one
1 9 2,one hundred ninety two
1 9 3,one hundred ninety three
1 9 4,one hundred ninety four
1 9 5,one hundred ninety five
1 9 6,one hundred ninety six
1 9 7,one hundred ninety seven
1 9 8,one hundred ninety eight
1 9 9,one hundred ninety nine
2 0 0,two hundred
2 0 1,two hundred one
2 0 2,two hundred two
2 0 3,two hundred three
2 0 4,two hundred four
2 0 5,two hundred five
2 0 6,two hundred six
2 0 7,two hundred seven
2 0 8,two hundred eight
2 0 9,two hundred nine
2 1 0,two hundred ten
2 1 1,two hundred eleven
2 1 2,two hundred twelve
2 1 3,two hundred thirteen
2 1 4,two hundred fourteen
2 1 5,two hundred fifteen
2 1 6,two hundred sixteen
2 1 7,two hundred seventeen
2 1 8,two hundred eighteen
2 1 9,two hundred nineteen
2 2 0,two hundred twenty 
2 2 1,two hundred twenty one
2 2 2,two hundred twenty two
2 2 3,two hundred twenty three
2 2 4,two hundred twenty four
2 2 5,two hundred twenty five
2 2 6,two hundred twenty six
2 2 7,two hundred twenty seven
2 2 8,two hundred twenty eight
2 2 9,two hundred twenty nine
2 3 0,two hundred thirty 
2 3 1,two hundred thirty one
2 3 2,two hundred thirty two
2 3 3,two hundred thirty three
2 3 4,two hundred thirty four
2 3 5,two hundred thirty five
2 3 6,two hundred thirty six
2 3 7,two hundred thirty seven
2 3 8,two hundred thirty eight
2 3 9,two hundred thirty nine
2 4 0,two hundred forty 
2 4 1,two hundred forty one
2 4 2,two hundred forty two
2 4 3,two hundred forty three
2 4 4,two hundred forty four
2 4 5,two hundred forty five
2 4 6,two hundred forty six
2 4 7,two hundred forty seven
2 4 8,two hundred forty eight
2 4 9,two hundred forty nine
2 5 0,two hundred fifty 
2 5 1,two hundred fifty one
2 5 2,two hundred fifty two
2 5 3,two hundred fifty three
2 5 4,two hundred fifty four
2 5 5,two hundred fifty five
2 5 6,two hundred fifty six
2 5 7,two hundred fifty seven
2 5 8,two hundred fifty eight
2 5 9,two hundred fifty nine
2 6 0,two hundred sixty 
2 6 1,two hundred sixty one
2 6 2,two hundred sixty two
2 6 3,two hundred sixty three
2 6 4,two hundred sixty four
2 6 5,two hundred sixty five
2 6 6,two hundred sixty six
2 6 7,two hundred sixty seven
2 6 8,two hundred sixty eight
2 6 9,two hundred sixty nine
2 7 0,two hundred seventy 
2 7 1,two hundred seventy one
2 7 2,two hundred seventy two
2 7 3,two hundred seventy three
2 7 4,two hundred seventy four
2 7 5,two hundred seventy five
2 7 6,two hundred seventy six
2 7 7,two hundred seventy seven
2 7 8,two hundred seventy eight
2 7 9,two hundred seventy nine
2 8 0,two hundred eighty 
2 8 1,two hundred eighty one
2 8 2,two hundred eighty two
2 8 3,two hundred eighty three
2 8 4,two hundred eighty four
2 8 5,two hundred eighty five
2 8 6,two hundred eighty six
2 8 7,two hundred eighty seven
2 8 8,two hundred eighty eight
2 8 9,two hundred eighty nine
2 9 0,two hundred ninety 
2 9 1,two hundred ninety one
2 9 2,two hundred ninety two
2 9 3,two hundred ninety three
2 9 4,two hundred ninety four
2 9 5,two hundred ninety five
2 9 6,two hundred ninety six
2 9 7,two hundred ninety seven
2 9 8,two hundred ninety eight
2 9 9,two hundred ninety nine
3 0 0,three hundred
3 0 1,three hundred one
3 0 2,three hundred two
3 0 3,three hundred three
3 0 4,three hundred four
3 0 5,three hundred five
3 0 6,three hundred six
3 0 7,three hundred seven
3 0 8,three hundred eight
3 0 9,three hundred nine
3 1 0,three hundred ten
3 1 1,three hundred eleven
3 1 2,three hundred twelve
3 1 3,three hundred thirteen
3 1 4,three hundred fourteen
3 1 5,three hundred fifteen
3 1 6,three hundred sixteen
3 1 7,three hundred seventeen
3 1 8,three hundred eighteen
3 1 9,three hundred nineteen
3 2 0,three hundred twenty 
3 2 1,three hundred twenty one
3 2 2,three hundred twenty two
3 2 3,three hundred twenty three
3 2 4,three hundred twenty four
3 2 5,three hundred twenty five
3 2 6,three hundred twenty six
3 2 7,three hundred twenty seven
3 2 8,three hundred twenty eight
3 2 9,three hundred twenty nine
3 3 0,three hundred thirty 
3 3 1,three hundred thirty one
3 3 2,three hundred thirty two
3 3 3,three hundred thirty three
3 3 4,three hundred thirty four
3 3 5,three hundred thirty five
3 3 6,three hundred thirty six
3 3 7,three hundred thirty seven
3 3 8,three hundred thirty eight
3 3 9,three hundred thirty nine
3 4 0,three hundred forty 
3 4 1,three hundred forty one
3 4 2,three hundred forty two
3 4 3,three hundred forty three
3 4 4,three hundred forty four
3 4 5,three hundred forty five
3 4 6,three hundred forty six
3 4 7,three hundred forty seven
3 4 8,three hundred forty eight
3 4 9,three hundred forty nine
3 5 0,three hundred fifty 
3 5 1,three hundred fifty one
3 5 2,three hundred fifty two
3 5 3,three hundred fifty three
3 5 4,three hundred fifty four
3 5 5,three hundred fifty five
3 5 6,three hundred fifty six
3 5 7,three hundred fifty seven
3 5 8,three hundred fifty eight
3 5 9,three hundred fifty nine
3 6 0,three hundred sixty 
3 6 1,three hundred sixty one
3 6 2,three hundred sixty two
3 6 3,three hundred sixty three
3 6 4,three hundred sixty four
3 6 5,three hundred sixty five
3 6 6,three hundred sixty six
3 6 7,three hundred sixty seven
3 6 8,three hundred sixty eight
3 6 9,three hundred sixty nine
3 7 0,three hundred seventy 
3 7 1,three hundred seventy one
